frame_idx,tracker_id,x,y,team_id,has_ball,distance_to_ball
0,2,7252.33056640625,2904.958251953125,0,True,inf
0,3,4587.28173828125,6277.96142578125,0,False,inf
0,4,6304.61181640625,5672.5166015625,0,False,inf
0,6,6894.328125,3486.23583984375,0,False,inf
0,7,6313.076171875,3308.208740234375,0,False,inf
0,8,4466.11962890625,2880.302978515625,1,False,inf
0,9,6953.72509765625,2033.430419921875,0,False,inf
0,10,4557.02587890625,2190.429931640625,0,False,inf
0,11,6521.08740234375,3369.20751953125,1,False,inf
0,12,7211.20458984375,4285.9208984375,0,False,inf
0,13,4803.16552734375,2273.467041015625,1,False,inf
0,14,6249.78515625,3339.7548828125,1,False,inf
0,15,4723.70849609375,4064.619140625,0,False,inf
0,16,5580.76708984375,2771.99658203125,1,False,inf
0,17,4545.0244140625,3677.34228515625,1,False,inf
0,18,4561.91455078125,5468.1728515625,1,False,inf
0,19,7177.7763671875,2760.4296875,1,False,inf
0,20,4690.205078125,4333.69775390625,1,False,inf
0,22,5418.3544921875,3258.58544921875,0,False,inf
0,23,5385.0859375,3380.213134765625,1,False,inf
1,2,7252.290573202433,2904.3751608557586,0,True,inf
1,3,4587.124464393848,6277.323988090967,0,False,inf
1,4,6304.640768541529,5671.975343847041,0,False,inf
1,6,6894.333032141572,3485.5815951935806,0,False,inf
1,7,6313.119354720839,3307.487267744661,0,False,inf
1,8,4466.220716022646,2879.2819250329026,1,False,inf
1,9,6953.69295587895,2032.9121030932672,0,False,inf
1,10,4557.1748106529785,2189.4500981471124,0,False,inf
1,11,6521.074889132739,3368.6238150411873,1,False,inf
1,12,7211.2637208997,4285.310450025866,0,False,inf
1,13,4803.353470865981,2272.792922442087,1,False,inf
1,14,6249.813617671121,3338.9578403425676,1,False,inf
1,15,4723.721745375996,4063.6421287378917,0,False,inf
1,16,5580.8365258970025,2771.1115790486283,1,False,inf
1,17,4545.069559764968,3676.3173059602696,1,False,inf
1,18,4561.8267129471005,5467.3356932102115,1,False,inf
1,19,7177.731221485032,2759.92425191802,1,False,inf
1,20,4690.220535620953,4332.8029366404835,1,False,inf
1,22,5418.42613645446,3257.758963899382,0,False,inf
1,23,5385.137707843591,3379.3346337455873,1,False,inf
2,2,7252.779653574911,2907.077563078866,0,False,831.0815284302229
2,3,4589.325288267011,6283.464067200365,0,False,3482.5791637611705
