frame_idx,vx,vy
3,10.57275390625,40.759765625
4,3.54541015625,-9.57373046875
5,3.4541015625,-6.7080078125
6,2.19189453125,19.123046875
7,5.87939453125,-6.343017578125
8,13.78662109375,12.333984375
9,3.27392578125,-0.64599609375
10,1.7373046875,-0.29736328125
11,6.896484375,17.36328125
12,-0.033203125,40.03466796875
13,5.1494140625,80.395751953125
14,3.46533203125,48.247802734375
15,5.43701171875,69.986572265625
16,3.52490234375,42.3212890625
17,4.57763671875,32.438232421875
18,3.20361328125,30.27392578125
19,5.11376953125,46.408935546875
20,3.111328125,48.27099609375
21,1.623046875,49.0751953125
22,1.56396484375,45.005859375
23,5.5712890625,17.5205078125
24,5.33154296875,35.81298828125
25,2.279296875,62.953125
26,-0.2216796875,59.36181640625
27,2.44189453125,59.99169921875
28,6.06640625,39.3798828125
29,2.57275390625,29.01025390625
30,3.818359375,39.689453125
31,1.83056640625,44.8349609375
32,6.869140625,24.28857421875
33,-1.20263671875,24.39208984375
34,2.865234375,40.40869140625
35,3.6953125,24.91552734375
36,4.142578125,23.7529296875
37,-0.90869140625,28.7109375
38,0.990234375,50.9208984375
39,2.6640625,39.759765625
40,2.66015625,4.40380859375
41,-5.646484375,11.662109375
42,75.86767578125,68.04541015625
43,-3.35595703125,15.0859375
44,0.33544921875,-8.6201171875
45,0.025390625,9.68701171875
46,-7.07666015625,11.873046875
47,-3.29833984375,15.7841796875
48,-1.97509765625,13.01513671875
49,0.7734375,14.47119140625
50,1.42431640625,1.6923828125
51,-4.60498046875,12.2158203125
52,6.40380859375,23.02197265625
53,-6.96484375,14.97607421875
54,2.982421875,15.400390625
55,-9.1376953125,-1.47265625
56,-2.873046875,2.6748046875
57,3.2919921875,10.5400390625
58,-24.96484375,57.97509765625
59,-28.08544921875,51.24365234375
60,-27.068359375,44.60791015625
61,-34.06884765625,58.50732421875
62,-30.9306640625,40.052734375
63,-29.162109375,57.79443359375
64,-25.2509765625,46.19677734375
65,-23.943359375,61.14794921875
66,-16.51220703125,34.38525390625
67,-13.54541015625,32.001953125
68,-23.28076171875,48.4267578125
69,-23.2763671875,43.240234375
70,-22.94287109375,45.06103515625
71,-21.27783203125,62.5302734375
72,-19.3505859375,48.4892578125
73,-18.32666015625,40.1572265625
74,-17.6025390625,48.39208984375
75,-20.6962890625,35.36376953125
76,-20.68603515625,35.09033203125
77,-21.1396484375,37.107421875
78,-15.501953125,26.67333984375
79,-19.72021484375,32.78125
80,-24.052734375,34.947265625
81,-15.1484375,46.03076171875
82,-20.4501953125,35.15380859375
83,-20.32275390625,2.404296875
84,-13.294921875,41.68359375
85,-14.74462890625,27.39892578125
86,-13.11865234375,38.24609375
87,-15.662109375,13.86181640625
88,-12.36669921875,44.09521484375
89,-13.8193359375,55.8212890625
90,-23.26416015625,50.263671875
91,-10.79052734375,4.51708984375
92,-2.89990234375,11.06494140625
98,-68.2822265625,-18.9443359375
99,-6.5029296875,25.68408203125
100,-5.3994140625,-13.89990234375
101,-11.41845703125,3.177734375
102,-14.52587890625,0.08544921875
103,-9.75732421875,6.48486328125
104,-5.736328125,15.908203125
105,-10.212890625,6.18408203125
106,-11.6728515625,-4.02734375
107,-13.1337890625,-26.72216796875
108,-6.22509765625,-10.60302734375
109,-5.23681640625,7.58056640625
110,-9.83154296875,-1.6201171875
111,-10.2978515625,-0.28466796875
112,-10.56689453125,12.22216796875
113,-10.560546875,2.443359375
114,-10.291015625,-9.21142578125
115,-6.013671875,-6.181640625
116,-6.869140625,18.13232421875
117,-9.3046875,-4.0400390625
118,-7.2265625,5.24755859375
119,-6.54931640625,3.5029296875
120,-8.57080078125,5.33984375
121,-7.55126953125,-1.71875
122,-10.2568359375,2.18896484375
123,-7.22509765625,-3.306640625
124,-7.78564453125,8.9951171875
125,-7.20166015625,-0.35546875
128,-22.63623046875,-5.2265625
129,-12.326171875,8.0576171875
130,-12.1083984375,0.90673828125
131,-7.6796875,7.96435546875
132,-11.99853515625,-5.14794921875
133,-5.74462890625,16.3193359375
134,-12.71875,-21.064453125
135,-6.20556640625,6.12158203125
136,-14.84619140625,-42.21337890625
137,-7.31494140625,-23.4375
138,-23.158203125,-6.90869140625
139,1.75634765625,8.19873046875
140,-22.6884765625,-49.244140625
141,-6.54443359375,-8.61181640625
142,-9.41162109375,-11.4560546875
143,-7.955078125,-8.7294921875
144,-5.78662109375,-9.24951171875
149,-46.29638671875,-72.03515625
150,-6.7197265625,-0.08154296875
151,-7.13916015625,-6.05078125
152,-6.12255859375,-17.75390625
158,46.10595703125,-320.5166015625
159,7.81298828125,-45.2392578125
160,9.224609375,-43.52197265625
161,6.7919921875,-51.05517578125
162,5.38037109375,-54.5419921875
163,8.380859375,-44.35302734375
164,10.1201171875,-35.4208984375
165,8.46630859375,-34.05322265625
166,10.95556640625,-34.48779296875
167,6.29345703125,-47.73828125
168,4.6962890625,-26.859375
169,6.85107421875,-6.04052734375
170,5.79052734375,-48.447265625
171,3.11328125,-30.35888671875
172,3.4970703125,-10.42919921875
173,4.7568359375,-9.7197265625
174,5.400390625,-20.90771484375
175,7.25341796875,-10.02294921875
176,3.751953125,-5.0751953125
177,5.158203125,7.71875
179,9.73388671875,21.83642578125
180,5.62158203125,18.22900390625
181,41.53466796875,8.55322265625
182,47.4345703125,-0.69921875
183,49.0830078125,-9.935546875
184,45.908203125,-4.43408203125
185,46.86669921875,10.30419921875
186,43.81689453125,20.330078125
187,46.1591796875,19.939453125
188,47.58544921875,23.6337890625
189,44.44775390625,25.35498046875
190,42.470703125,-7.64501953125
191,41.31689453125,-10.07666015625
192,30.0986328125,-14.912109375
193,47.42529296875,-5.94775390625
194,37.59326171875,-1.7822265625
195,37.5556640625,14.375
196,32.39111328125,10.23486328125
197,41.9453125,18.12939453125
198,30.57421875,18.396484375
199,34.8935546875,6.01708984375
200,34.21875,-3.7587890625
201,47.15185546875,-53.71826171875
202,30.91162109375,8.01025390625
203,30.7041015625,2.25146484375
204,29.72119140625,3.69677734375
205,28.6875,3.10986328125
206,26.81298828125,28.34912109375
210,29.5,-30.751953125
211,-11.88525390625,-14.6796875
212,-2.46337890625,-17.72607421875
213,0.0078125,-22.0185546875
214,-0.28564453125,-17.53955078125
215,-4.85791015625,-0.91552734375
216,0.9765625,-6.42041015625
217,0.26220703125,-18.02099609375
218,-1.8154296875,-15.4404296875
219,-0.16943359375,-7.97802734375
220,0.994140625,-19.85302734375
221,73.2470703125,-1936.55908203125
222,-72.42578125,1911.56298828125
223,-0.05029296875,-5.5283203125
224,-0.546875,-17.94287109375
225,3.115234375,-0.28076171875
226,1.78955078125,-14.11279296875
227,0.82568359375,-5.4619140625
228,-1.3466796875,-6.6005859375
229,-1.44775390625,-5.57373046875
230,1.95263671875,-1.94677734375
231,2.82666015625,-8.87744140625
232,-0.42919921875,-15.171875
233,4.41845703125,-10.4189453125
234,-12.07177734375,-9.33740234375
235,-0.42822265625,-13.61669921875
236,0.1884765625,5.13623046875
237,1.05517578125,-11.39599609375
238,1.76953125,-4.5029296875
239,9.9765625,-5.32373046875
240,6.79443359375,-94.46240234375
241,8.94287109375,-119.208984375
242,7.09814453125,-94.59130859375
243,5.8046875,-76.47314453125
244,-10.01123046875,-73.5517578125
245,11.39453125,-76.12841796875
246,5.2080078125,-71.03955078125
247,9.23876953125,-63.89794921875
248,6.53076171875,-50.748046875
249,6.77587890625,-24.2470703125
250,12.9033203125,-103.81689453125
251,8.47021484375,-66.796875
252,12.259765625,-78.45068359375
253,8.9140625,-59.09814453125
254,7.21484375,-50.02294921875
255,10.8525390625,-58.90234375
256,13.14013671875,-88.69921875
258,27.34326171875,-125.260986328125
259,12.67578125,-48.775146484375
261,26.7529296875,-74.09619140625
262,17.88134765625,-89.373291015625
264,26.6865234375,-126.239990234375
265,8.08056640625,-30.9794921875
266,9.48583984375,-29.72314453125
267,9.21142578125,-39.786376953125
269,29.9423828125,-91.558837890625
270,17.3349609375,-49.751708984375
271,25.958984375,-40.161376953125
277,4.01611328125,-27.102294921875
278,-8.59033203125,8.165283203125
279,3.90283203125,9.916748046875
280,-2.8173828125,-22.373291015625
281,1.50439453125,-3.26318359375
282,0.947265625,4.0908203125
283,3.5107421875,-2.83544921875
287,-3207.6396484375,1237.1728515625
288,3220.66064453125,-1267.5595703125
290,4.07080078125,-7.578369140625
291,-0.52880859375,0.11328125
293,-3.36328125,-35.34228515625
294,-8.0,-15.630126953125
295,-0.65234375,-6.8291015625
296,0.0498046875,-29.529052734375
299,-24.0498046875,-37.625732421875
300,6.53076171875,-27.629150390625
301,28.5341796875,18.954345703125
302,-36.39501953125,-26.1748046875
303,32.6318359375,13.677001953125
307,-32.3095703125,-40.626220703125
308,34.96533203125,10.3349609375
309,-2.66162109375,-1.60400390625
310,-2.64453125,-21.755126953125
311,-2.125,-14.08642578125
312,-2.21044921875,-1.244384765625
313,0.14892578125,15.278564453125
314,-6.97705078125,-19.988037109375
315,-0.8779296875,16.44384765625
318,-15.60595703125,-62.846923828125
319,-38.49658203125,-67.08740234375
320,-36.6533203125,-70.603271484375
321,-37.38037109375,-67.812744140625
322,-40.56103515625,-53.1201171875
323,-34.44384765625,-49.318603515625
324,-34.6669921875,-68.087646484375
325,-38.587890625,-59.73046875
330,-178.46923828125,-296.633056640625
332,-74.69921875,-79.311279296875
333,-39.990234375,-31.4306640625
334,-32.48583984375,-51.9613037109375
335,-38.392578125,-93.8768310546875
338,-98.7861328125,-89.6273193359375
339,-33.021484375,-33.08642578125
340,-27.65478515625,-56.98193359375
341,-32.25048828125,-54.687255859375
342,-29.80712890625,-31.034423828125
343,-30.306640625,-16.9813232421875
345,-57.21923828125,-80.9664306640625
346,-28.86669921875,-30.0919189453125
347,-24.39990234375,-33.339599609375
348,-25.81005859375,-45.1239013671875
349,-24.76416015625,-22.4249267578125
350,-59.7275390625,-16.6884765625
351,11.64111328125,-24.6510009765625
355,-82.4345703125,-112.3775634765625
356,-25.927734375,-27.78564453125
357,-25.73291015625,-40.87890625
358,-17.74365234375,-45.3717041015625
363,-39.978515625,-51.6826171875
364,13.0302734375,56.6141357421875
365,6.37548828125,2.408447265625
366,-3.12939453125,-3.397216796875
367,4.90625,28.80078125
374,40.8369140625,81.791259765625
375,-7.6455078125,19.3941650390625
376,11.0986328125,-17.4158935546875
377,9.09423828125,2.728515625
378,-2.34423828125,15.6546630859375
379,-7.56298828125,-13.331298828125
387,2.5947265625,31.2215576171875
388,5.42578125,12.4674072265625
389,4.5146484375,22.71484375
390,5.69140625,21.0120849609375
391,5.62841796875,-2.9908447265625
394,86.80078125,44.3294677734375
396,81.91796875,108.0640869140625
397,40.92236328125,11.363037109375
398,36.8671875,35.3587646484375
399,38.9609375,31.6893310546875
400,43.6728515625,35.97607421875
401,35.67919921875,35.1993408203125
402,40.87109375,17.5281982421875
403,35.779296875,24.54443359375
404,34.6806640625,49.553955078125
405,31.69873046875,24.12255859375
406,22.91845703125,12.77587890625
407,45.73095703125,15.470703125
408,38.232421875,36.8973388671875
410,67.21923828125,46.794921875
411,26.517578125,-9.4112548828125
412,30.07421875,12.2083740234375
413,35.72216796875,-2.8262939453125
414,23.43701171875,41.2760009765625
415,26.89404296875,30.81787109375
416,22.49169921875,4.2457275390625
417,29.2802734375,28.9632568359375
418,18.24560546875,1.49853515625
419,25.896484375,39.114990234375
422,68.2509765625,29.950927734375
423,22.419921875,9.50439453125
424,20.52978515625,2.99658203125
425,19.38671875,28.94384765625
426,21.689453125,18.3251953125
427,7.4033203125,1.312744140625
428,20.12890625,22.511474609375
429,13.3955078125,7.463134765625
430,32.48095703125,22.595703125
431,22.857421875,13.173828125
432,31.52978515625,11.54052734375
433,15.1845703125,18.16845703125
434,21.8701171875,16.85888671875
435,20.79248046875,24.932373046875
436,11.89794921875,8.07177734375
438,7.7529296875,-17.76513671875
439,-0.841796875,-11.65771484375
440,1.255859375,3.616943359375
442,-8.3671875,17.0078125
443,-9.138671875,10.65673828125
452,-183.5322265625,-2.5751953125
453,-8.38916015625,4.433837890625
454,87.31298828125,51.486328125
455,-104.88134765625,-52.906494140625
456,-11.130859375,-5.833740234375
457,-10.66845703125,-3.889892578125
458,-5.7099609375,16.64306640625
459,-11.87890625,7.883056640625
461,-19.53125,0.15966796875
462,-0.22412109375,10.7216796875
463,-3.41796875,-0.385986328125
464,-2.50341796875,6.58837890625
465,-7.75048828125,8.04052734375
466,-6.71484375,5.428955078125
467,-1.80419921875,12.267822265625
468,-11.5595703125,-12.436279296875
469,-9.7216796875,-6.488525390625
470,-4.1728515625,18.1416015625
471,-3.69189453125,6.95849609375
472,-4.4521484375,0.4931640625
473,-5.06884765625,-4.5322265625
474,-9.0341796875,-1.0869140625
475,-6.5205078125,12.046630859375
476,-3.21923828125,2.946533203125
477,0.53564453125,12.41650390625
478,-50.224609375,-61.73388671875
479,-34.474609375,-38.3037109375
480,39.3046875,-4.13916015625
481,-40.4990234375,-55.03076171875
482,-41.333984375,-46.17626953125
483,-39.6259765625,-50.4228515625
487,-140.4365234375,-203.654052734375
488,-30.84130859375,-69.5826416015625
489,-33.6669921875,-39.587890625
490,-39.28515625,-9.1356201171875
491,-34.2080078125,-63.64306640625
492,-26.58349609375,-27.131591796875
493,-28.21484375,-53.752197265625
494,-16.59130859375,-15.82275390625
