frame_idx,x,y
2,6848.8759765625,3633.40966796875
3,6859.44873046875,3674.16943359375
4,6862.994140625,3664.595703125
5,6866.4482421875,3657.8876953125
6,6868.64013671875,3677.0107421875
7,6874.51953125,3670.667724609375
8,6888.30615234375,3683.001708984375
9,6891.580078125,3682.355712890625
10,6893.3173828125,3682.058349609375
11,6900.2138671875,3699.421630859375
12,6900.1806640625,3739.456298828125
13,6905.330078125,3819.85205078125
14,6908.79541015625,3868.099853515625
15,6914.232421875,3938.08642578125
16,6917.75732421875,3980.40771484375
17,6922.3349609375,4012.845947265625
18,6925.53857421875,4043.119873046875
19,6930.65234375,4089.52880859375
20,6933.763671875,4137.7998046875
21,6935.38671875,4186.875
22,6936.95068359375,4231.880859375
23,6942.52197265625,4249.4013671875
24,6947.853515625,4285.21435546875
25,6950.1328125,4348.16748046875
26,6949.9111328125,4407.529296875
27,6952.35302734375,4467.52099609375
28,6958.41943359375,4506.90087890625
29,6960.9921875,4535.9111328125
30,6964.810546875,4575.6005859375
31,6966.64111328125,4620.435546875
32,6973.51025390625,4644.72412109375
33,6972.3076171875,4669.1162109375
34,6975.1728515625,4709.52490234375
35,6978.8681640625,4734.4404296875
36,6983.0107421875,4758.193359375
37,6982.10205078125,4786.904296875
38,6983.09228515625,4837.8251953125
39,6985.75634765625,4877.5849609375
40,6988.41650390625,4881.98876953125
41,6982.77001953125,4893.65087890625
42,7058.6376953125,4961.6962890625
43,7055.28173828125,4976.7822265625
44,7055.6171875,4968.162109375
45,7055.642578125,4977.84912109375
46,7048.56591796875,4989.72216796875
47,7045.267578125,5005.50634765625
48,7043.29248046875,5018.521484375
49,7044.06591796875,5032.99267578125
50,7045.490234375,5034.68505859375
51,7040.88525390625,5046.90087890625
52,7047.2890625,5069.9228515625
53,7040.32421875,5084.89892578125
54,7043.306640625,5100.29931640625
55,7034.1689453125,5098.82666015625
56,7031.2958984375,5101.50146484375
57,7034.587890625,5112.04150390625
58,7009.623046875,5170.0166015625
59,6981.53759765625,5221.26025390625
60,6954.46923828125,5265.8681640625
61,6920.400390625,5324.37548828125
62,6889.4697265625,5364.42822265625
63,6860.3076171875,5422.22265625
64,6835.056640625,5468.41943359375
65,6811.11328125,5529.5673828125
66,6794.60107421875,5563.95263671875
67,6781.0556640625,5595.95458984375
68,6757.77490234375,5644.38134765625
69,6734.49853515625,5687.62158203125
70,6711.5556640625,5732.6826171875
71,6690.27783203125,5795.212890625
72,6670.92724609375,5843.7021484375
73,6652.6005859375,5883.859375
74,6634.998046875,5932.25146484375
75,6614.3017578125,5967.615234375
76,6593.61572265625,6002.70556640625
77,6572.47607421875,6039.81298828125
78,6556.97412109375,6066.486328125
79,6537.25390625,6099.267578125
80,6513.201171875,6134.21484375
81,6498.052734375,6180.24560546875
82,6477.6025390625,6215.3994140625
83,6457.27978515625,6217.8037109375
84,6443.98486328125,6259.4873046875
85,6429.240234375,6286.88623046875
86,6416.12158203125,6325.13232421875
87,6400.45947265625,6338.994140625
88,6388.0927734375,6383.08935546875
89,6374.2734375,6438.91064453125
90,6351.00927734375,6489.17431640625
91,6340.21875,6493.69140625
92,6337.31884765625,6504.75634765625
93,6337.31884765625,6504.75634765625
94,6337.31884765625,6504.75634765625
95,6337.31884765625,6504.75634765625
96,6337.31884765625,6504.75634765625
97,6337.31884765625,6504.75634765625
98,6269.03662109375,6485.81201171875
99,6262.53369140625,6511.49609375
100,6257.13427734375,6497.59619140625
101,6245.7158203125,6500.77392578125
102,6231.18994140625,6500.859375
103,6221.4326171875,6507.34423828125
104,6215.6962890625,6523.25244140625
105,6205.4833984375,6529.4365234375
106,6193.810546875,6525.4091796875
107,6180.6767578125,6498.68701171875
108,6174.45166015625,6488.083984375
109,6169.21484375,6495.66455078125
110,6159.38330078125,6494.04443359375
111,6149.08544921875,6493.759765625
112,6138.5185546875,6505.98193359375
113,6127.9580078125,6508.42529296875
114,6117.6669921875,6499.2138671875
115,6111.6533203125,6493.0322265625
116,6104.7841796875,6511.16455078125
117,6095.4794921875,6507.12451171875
118,6088.2529296875,6512.3720703125
119,6081.70361328125,6515.875
120,6073.1328125,6521.21484375
121,6065.58154296875,6519.49609375
122,6055.32470703125,6521.68505859375
123,6048.099609375,6518.37841796875
124,6040.31396484375,6527.37353515625
125,6033.1123046875,6527.01806640625
126,6033.1123046875,6527.01806640625
127,6033.1123046875,6527.01806640625
128,6010.47607421875,6521.79150390625
129,5998.14990234375,6529.84912109375
130,5986.04150390625,6530.755859375
131,5978.36181640625,6538.72021484375
132,5966.36328125,6533.572265625
133,5960.61865234375,6549.8916015625
134,5947.89990234375,6528.8271484375
135,5941.6943359375,6534.94873046875
136,5926.84814453125,6492.7353515625
137,5919.533203125,6469.2978515625
138,5896.375,6462.38916015625
139,5898.13134765625,6470.587890625
140,5875.44287109375,6421.34375
141,5868.8984375,6412.73193359375
142,5859.48681640625,6401.27587890625
143,5851.53173828125,6392.54638671875
144,5845.7451171875,6383.296875
145,5845.7451171875,6383.296875
146,5845.7451171875,6383.296875
147,5845.7451171875,6383.296875
148,5845.7451171875,6383.296875
149,5799.44873046875,6311.26171875
150,5792.72900390625,6311.18017578125
151,5785.58984375,6305.12939453125
152,5779.46728515625,6287.37548828125
153,5779.46728515625,6287.37548828125
154,5779.46728515625,6287.37548828125
155,5779.46728515625,6287.37548828125
156,5779.46728515625,6287.37548828125
157,5779.46728515625,6287.37548828125
158,5825.5732421875,5966.85888671875
159,5833.38623046875,5921.61962890625
160,5842.61083984375,5878.09765625
161,5849.40283203125,5827.04248046875
162,5854.783203125,5772.50048828125
163,5863.1640625,5728.1474609375
164,5873.2841796875,5692.7265625
165,5881.75048828125,5658.67333984375
166,5892.7060546875,5624.185546875
167,5898.99951171875,5576.447265625
168,5903.69580078125,5549.587890625
169,5910.546875,5543.54736328125
170,5916.33740234375,5495.10009765625
171,5919.45068359375,5464.7412109375
172,5922.94775390625,5454.31201171875
173,5927.70458984375,5444.59228515625
174,5933.10498046875,5423.6845703125
175,5940.3583984375,5413.66162109375
176,5944.1103515625,5408.58642578125
177,5949.2685546875,5416.30517578125
178,5949.2685546875,5416.30517578125
179,5959.00244140625,5438.1416015625
180,5964.6240234375,5456.37060546875
181,6006.15869140625,5464.923828125
182,6053.59326171875,5464.224609375
183,6102.67626953125,5454.2890625
184,6148.58447265625,5449.85498046875
185,6195.451171875,5460.1591796875
186,6239.26806640625,5480.4892578125
187,6285.42724609375,5500.4287109375
188,6333.0126953125,5524.0625
189,6377.46044921875,5549.41748046875
190,6419.93115234375,5541.7724609375
191,6461.248046875,5531.69580078125
192,6491.3466796875,5516.78369140625
193,6538.77197265625,5510.8359375
194,6576.365234375,5509.0537109375
195,6613.9208984375,5523.4287109375
196,6646.31201171875,5533.66357421875
197,6688.25732421875,5551.79296875
198,6718.83154296875,5570.189453125
199,6753.72509765625,5576.20654296875
200,6787.94384765625,5572.44775390625
201,6835.095703125,5518.7294921875
202,6866.00732421875,5526.73974609375
203,6896.71142578125,5528.9912109375
204,6926.4326171875,5532.68798828125
205,6955.1201171875,5535.7978515625
206,6981.93310546875,5564.14697265625
207,6981.93310546875,5564.14697265625
208,6981.93310546875,5564.14697265625
209,6981.93310546875,5564.14697265625
210,7011.43310546875,5533.39501953125
211,6999.5478515625,5518.71533203125
212,6997.08447265625,5500.9892578125
213,6997.09228515625,5478.970703125
214,6996.806640625,5461.43115234375
215,6991.94873046875,5460.515625
216,6992.92529296875,5454.09521484375
217,6993.1875,5436.07421875
218,6991.3720703125,5420.6337890625
219,6991.20263671875,5412.65576171875
220,6992.19677734375,5392.802734375
221,7065.44384765625,3456.24365234375
222,6993.01806640625,5367.806640625
223,6992.9677734375,5362.2783203125
224,6992.4208984375,5344.33544921875
225,6995.5361328125,5344.0546875
226,6997.32568359375,5329.94189453125
227,6998.1513671875,5324.47998046875
228,6996.8046875,5317.87939453125
229,6995.35693359375,5312.3056640625
230,6997.3095703125,5310.35888671875
231,7000.13623046875,5301.4814453125
232,6999.70703125,5286.3095703125
233,7004.12548828125,5275.890625
234,6992.0537109375,5266.55322265625
235,6991.62548828125,5252.9365234375
236,6991.81396484375,5258.07275390625
237,6992.869140625,5246.6767578125
238,6994.638671875,5242.173828125
239,7004.615234375,5236.85009765625
240,7011.40966796875,5142.3876953125
241,7020.3525390625,5023.1787109375
242,7027.45068359375,4928.58740234375
243,7033.25537109375,4852.1142578125
244,7023.244140625,4778.5625
245,7034.638671875,4702.43408203125
246,7039.8466796875,4631.39453125
247,7049.08544921875,4567.49658203125
248,7055.6162109375,4516.74853515625
249,7062.39208984375,4492.50146484375
250,7075.29541015625,4388.6845703125
251,7083.765625,4321.8876953125
252,7096.025390625,4243.43701171875
253,7104.939453125,4184.3388671875
254,7112.154296875,4134.31591796875
255,7123.0068359375,4075.41357421875
256,7136.14697265625,3986.71435546875
257,7136.14697265625,3986.71435546875
258,7163.490234375,3861.453369140625
259,7176.166015625,3812.67822265625
260,7176.166015625,3812.67822265625
261,7202.9189453125,3738.58203125
262,7220.80029296875,3649.208740234375
263,7220.80029296875,3649.208740234375
264,7247.48681640625,3522.96875
265,7255.5673828125,3491.9892578125
266,7265.05322265625,3462.26611328125
267,7274.2646484375,3422.479736328125
268,7274.2646484375,3422.479736328125
269,7304.20703125,3330.9208984375
270,7321.5419921875,3281.169189453125
271,7347.5009765625,3241.0078125
272,7347.5009765625,3241.0078125
273,7347.5009765625,3241.0078125
274,7347.5009765625,3241.0078125
275,7347.5009765625,3241.0078125
276,7347.5009765625,3241.0078125
277,7351.51708984375,3213.905517578125
278,7342.9267578125,3222.07080078125
279,7346.82958984375,3231.987548828125
280,7344.01220703125,3209.6142578125
281,7345.5166015625,3206.35107421875
282,7346.4638671875,3210.44189453125
283,7349.974609375,3207.6064453125
284,7349.974609375,3207.6064453125
285,7349.974609375,3207.6064453125
286,7349.974609375,3207.6064453125
287,4142.3349609375,4444.779296875
288,7362.99560546875,3177.2197265625
289,7362.99560546875,3177.2197265625
