frame_idx,team_0_possession,team_1_possession,team_0_centroid_x,team_0_centroid_y,team_0_spread,team_1_centroid_x,team_1_centroid_y,team_1_spread
0,True,False,6021.564697265625,3748.286669921875,1529.2336630252394,5398.093115234375,3425.4584716796876,1123.035011760218
1,True,False,6021.57875622623,3747.5817099635533,1529.25071786253,5398.128495725114,3424.648290338194,1122.9998985452662
2,True,False,6021.515974373526,3752.1310218314256,1529.4003106820464,5398.80014810524,3427.8521720658914,1122.0105763575516
3,True,False,6020.756619585726,3758.7345218518813,1530.2167170572488,5399.343278660807,3433.9926303657876,1123.1736768516428
4,True,False,6018.975847265481,3760.779044614821,1531.5141760651381,5399.773259434062,3435.590760827322,1124.9315276598113
5,True,False,6016.28184374693,3759.9617494269287,1534.4316352453106,5399.123058354371,3429.937231309432,1125.234244618125
6,True,False,6013.469707288985,3766.5363732819096,1536.9318563441684,5399.624541091912,3432.4276521373904,1124.8489762029558
7,True,False,6077.6476273494445,3827.025811983837,1618.5816571545865,5401.278753411825,3417.7483721927315,1032.0051968307384
8,True,False,6075.968928478049,3835.3658115480157,1623.838011648058,5400.872630496787,3419.331938308812,1031.0053410444334
9,True,False,6074.059312755531,3844.6371925680996,1628.2287935266213,5400.9827514297385,3423.410337409688,1029.7502098769846
10,True,False,6072.215426390932,3852.9639027573958,1630.168281482448,5401.86866514046,3428.57789960272,1030.1524384034726
11,True,False,6070.111965242343,3863.871251237241,1630.7436721667418,5402.367114861136,3437.5917928509225,1031.092801010037
12,True,False,6240.845840449952,3850.5772164880104,1607.6108907215778,5342.719697962848,3499.3515418481325,1033.5562372235875
13,True,False,6064.275103935033,3890.1128451809254,1630.733492229759,5403.376548656858,3460.555402219535,1034.0402873758223
14,True,False,6060.587790103219,3904.053945641108,1632.2028517041915,5405.3083879803025,3474.6618791608194,1036.9351731967647
15,True,False,5989.307745163388,3861.0132099338457,1559.0042122584393,5410.101774514094,3501.918693279684,1132.8496217528827
16,True,False,5985.385612494765,3862.946858255177,1566.185090318618,5412.435308917615,3516.8557047659515,1135.4119338244818
17,True,False,5981.335235383831,3860.568933911799,1574.9725298405162,5414.48978492965,3529.2405229680357,1139.0918210389827
18,True,False,5977.66153843026,3856.8925840572347,1582.693031535467,5416.35687568204,3538.2136833883246,1143.7796053915222
19,True,False,5974.880062925897,3856.661404162448,1586.9693870119963,5417.66245838666,3545.87434937349,1148.5190690900918
20,True,False,5972.6715880945385,3858.1969218106788,1588.7869140433797,5418.888641479186,3553.9673170879055,1152.3554087745583
21,True,False,5970.395947034571,3860.8909202834993,1589.5763955160753,5419.735697379165,3559.928331887437,1156.412851675809
22,True,False,5967.743807910563,3866.104693166889,1589.8026914916525,5420.027979853319,3565.880766906441,1159.776154726452
23,True,False,5965.160600795264,3870.870795364039,1590.5113227916736,5420.073035156978,3570.6221553417176,1162.417709193145
24,True,False,5962.580995784298,3875.337452580972,1592.5270092651876,5419.713962977121,3574.605169984918,1164.7792455763617
25,True,False,5960.04863252563,3881.3186438406074,1595.2588012091692,5419.408653805916,3580.8592143214346,1166.5114054768162
26,True,False,5957.451018696189,3888.2111000011837,1597.1251230785876,5419.225578634743,3589.9889322946883,1167.8927196373172
27,True,False,5954.900494781447,3895.3445568211805,1598.4708031911211,5418.8019805475,3600.718661906103,1169.2191028724951
28,True,False,5952.700356463245,3904.1303416825713,1599.1251935285834,5418.416779537032,3612.8608763589414,1170.9037345856927
29,True,False,5950.33566439345,3912.7555560926207,1599.0516457545486,5418.130558602257,3624.2458662686636,1172.2807703369035
30,True,False,5948.164243348228,3922.18596252613,1598.233712218873,5417.887955542629,3634.940210051659,1174.2067711172424
31,True,False,5946.129341133471,3931.619757425109,1597.029622525473,5417.496115204162,3645.5885945544533,1176.16780889449
32,True,False,5943.782754091118,3939.209531213214,1596.687077331505,5416.480476594322,3654.2859955440754,1178.6146403075804
33,True,False,5941.090981851637,3942.8615956313442,1597.0759476090698,5414.7762258750245,3661.416890846983,1180.591414276129
34,True,False,5938.7365012539985,3946.529940594147,1597.3626412434483,5412.793065645346,3670.5307232271502,1181.979032226287
35,True,False,5936.655494479458,3949.6690503933632,1597.6659921683618,5411.046163528483,3679.9258564134916,1183.3079676450247
36,True,False,5934.398489787503,3952.9713186739305,1597.8503497170368,5409.526656901895,3691.616517659758,1185.1916528312531
37,True,False,5932.141396269015,3956.3911838579284,1597.6321183605858,5407.988820977249,3701.00366537653,1186.8664332506658
38,True,False,5929.242732071077,3962.794864325093,1598.2414619253536,5406.348497241166,3713.900134978815,1188.0967253558722
39,True,False,5926.591120757757,3971.863264879738,1598.0233430225692,5405.012348629976,3728.408823175972,1189.9446694859996
40,True,False,5923.9669678245245,3979.6986337626354,1598.46499507391,5403.071692154707,3740.7175641153835,1192.2770938723002
41,True,False,5920.835338698112,3986.827741849549,1599.102411874962,5400.7399545717135,3753.0157747791245,1194.3845762219812
42,True,False,5918.0379149257005,3990.034625583069,1608.7268749091284,5391.178117335073,3756.447511158044,1200.803730729655
43,True,False,5915.196538176226,3994.572734320559,1617.1323422139997,5382.008516054568,3761.1862435242538,1206.2275306382533
44,True,False,5912.180700669957,3995.7853399373685,1624.4295615141532,5373.5695526515365,3763.395235402725,1211.6667946165362
45,True,False,5909.030256918426,3996.169874022962,1630.2903299356763,5365.946843007573,3767.4496344614113,1216.900326177398
46,True,False,5905.6200358756205,3996.3346265766036,1634.3328704185392,5359.207886938641,3771.0388718510344,1220.652531080433
47,True,False,5902.297197611397,3999.21070480925,1637.2342014795718,5353.140192840341,3777.088804413042,1223.657000438795
48,True,False,5898.713910460947,4004.2269239857,1639.158504278271,5347.095641499907,3786.531020404737,1225.0950284518815
49,True,False,5894.258252630877,4010.4430265842084,1641.6048345354066,5340.193174897309,3796.77225331198,1225.2741094840237
50,True,False,5889.885135355422,4015.5382870693043,1645.1000068989003,5333.3712221382775,3805.549785291952,1225.2012535282374
51,True,False,5885.68297357352,4019.512134280397,1647.4151681415685,5327.081956663704,3812.9089151535663,1225.0762246162435
52,True,False,5881.494755946239,4027.448161864634,1650.301141623114,5321.676240174971,3824.320261907172,1227.5696513161404
53,True,False,5877.262283556751,4037.020392946882,1651.3717416609318,5317.049577837687,3837.1080653045,1229.3709271848652
54,True,False,5872.73927301511,4046.36867993223,1652.7327410171551,5312.085984588845,3850.6371391114226,1231.3511303995137
55,True,False,5867.84690032685,4053.3563703306754,1651.8208811938603,5308.062358864367,3862.750026485703,1232.611531885637
56,True,False,5862.424540524448,4058.795966662241,1651.1454566165787,5302.35220472767,3876.2911644190617,1233.1979591422505
57,True,False,5856.839200307002,4064.4659891524584,1650.9786336183868,5296.980649100731,3889.7720478657975,1233.924382456149
58,True,False,5851.305627301223,4073.3314521121392,1651.1631020499415,5290.857410829305,3904.7584217238436,1235.4314313859818
59,True,False,5845.968813655668,4079.612702280158,1652.82864206854,5285.054755296357,3917.9263842406726,1236.1066562642109
60,True,False,5840.665553592798,4080.933047117555,1653.1283896214932,5278.958597585221,3928.131767666056,1236.755975131817
61,True,False,5834.493439926835,4078.3592937299413,1653.4135435026765,5273.483666517462,3936.342834034114,1237.5409287383816
62,True,False,5827.075824542635,4069.954881917017,1655.2667240169194,5267.561360367544,3942.316786772142,1238.783082385068
63,True,False,5819.300148251281,4061.4122083148336,1656.8968474396468,5261.643923787803,3946.8744048010876,1240.281501173827
64,True,False,5811.738376961688,4051.7647829911707,1658.8321715027755,5256.425920123374,3951.58870864388,1243.3040199504298
65,True,False,5804.603343475121,4046.1704180706015,1659.5040778316502,5251.731500796427,3961.6449215313783,1245.2956570848248
66,True,False,5798.3103031404235,4044.0267490620927,1660.0751165928184,5248.512456638753,3979.278009392952,1246.8665363725231
67,True,False,5791.697499435181,4042.4578338147685,1662.018781818299,5243.301983304235,3998.1803528026635,1249.179634413917
68,True,False,5785.708791631712,4043.646999621621,1662.553734144231,5238.6827319827735,4016.429909228786,1250.8008307890318
69,True,False,5782.276914972093,4051.5987729931812,1659.669328771018,5234.082932569106,4032.1931790481153,1253.3677443744339
70,True,False,5778.962482316591,4058.649715630064,1655.916489766491,5229.35497622267,4044.4716649691377,1255.95921930322
71,True,False,5775.75407960383,4068.782216353726,1652.656173844737,5224.333483550889,4060.075595657979,1260.0582025577921
72,True,False,5772.891363415316,4079.241915222523,1649.6507000894794,5219.095972999048,4076.0247511865155,1264.4742093475795
73,True,False,5770.242921247519,4089.793543261478,1646.3892760542099,5213.978788749885,4093.8112102804344,1268.3727340028777
74,True,False,5768.215850677798,4103.102431752415,1642.7043489935695,5209.106769905043,4112.835269665011,1272.5270114130572
75,True,False,5766.13271111751,4114.351823340778,1639.200136841821,5204.639554011641,4128.373144962308,1275.1766290823648
76,True,False,5763.406038330425,4122.387875168594,1637.2865291456828,5199.2664537720175,4140.777350474672,1277.4477098026978
77,True,False,5760.181417417383,4127.82707512057,1635.7092726236126,5194.174802319771,4151.864061385207,1279.95517899807
78,True,False,5756.56355761562,4135.008842802776,1636.0153105084657,5188.37827046649,4162.936084934207,1282.4369039785129
79,True,False,5752.477866527066,4141.808171685623,1636.9524044565621,5182.073619855752,4173.316428083839,1285.270669390232
80,True,False,5748.762462135828,4146.4066004100005,1635.4049278986415,5177.239026053893,4180.095811525586,1288.454168289643
81,True,False,5745.230784937213,4150.358421375943,1633.7328826395237,5172.504066517795,4186.104873152779,1291.5072779231891
82,True,False,5740.993475437195,4153.780112116123,1631.2964178802051,5167.122336277716,4190.935173061315,1294.7867180780072
83,True,False,5736.8285324791095,4153.095087442179,1627.0098416969972,5162.5584911647575,4190.706304668741,1297.469173419393
84,True,False,5732.980276076093,4161.215334370928,1623.1722276586202,5157.405801988598,4200.190821535849,1298.619249938074
85,True,False,5729.995506196212,4169.599635848028,1619.8285232433768,5152.88204472268,4210.76381791576,1299.1479672437615
86,True,False,5728.069476540105,4178.474376538254,1617.2675209240617,5149.507328760546,4222.66653840071,1299.772834489426
87,True,False,5725.552555253176,4182.150457995987,1616.956748969049,5145.222409816764,4230.695774973798,1301.4443336886159
88,True,False,5723.280938911264,4189.258621350368,1617.4550643785801,5140.6802246530015,4243.781614750347,1305.35416040251
89,True,False,5721.273754506297,4199.701987443818,1617.3208282192352,5136.084624235051,4259.447108039375,1309.576314788048
90,True,False,5716.055028075591,4202.756041802527,1618.357163245339,5128.646626371688,4265.753219491972,1314.8256747456774
91,True,False,5711.575613660869,4203.4766422518405,1616.9235795264797,5123.500437278668,4269.141929325768,1319.3983094051814
92,True,False,5707.210854304911,4205.172387363625,1618.2047858100054,5117.402147030029,4274.845192040618,1324.6850929083234
